DSCode,Date,TR_Price,Stale,WeeklyLnReturn,DailyLnReturn
69568X,1/01/2020,1751.07,NULL,NULL,NULL
69568X,2/01/2020,1801,NULL,NULL,NULL
69568X,3/01/2020,1854.37,NULL,NULL,NULL
69568X,6/01/2020,1890.08,NULL,NULL,NULL
69568X,7/01/2020,1963.42,NULL,NULL,NULL
69568X,8/01/2020,2060.02,NULL,0.162489,0.0480278
69568X,9/01/2020,2014.82,NULL,0.112188,-0.0221858
69568X,10/01/2020,2001.46,NULL,0.0763319,-0.00665295
69568X,13/01/2020,2196.99,NULL,0.150469,0.0932113
69568X,14/01/2020,2251.65,NULL,0.136975,0.024575
69568X,15/01/2020,2170.36,NULL,0.0521774,-0.0367702
69568X,16/01/2020,2149.39,NULL,0.0646542,-0.00970897
69568X,17/01/2020,2136.88,NULL,0.0654699,-0.00583726
69568X,20/01/2020,2136.88,NULL,-0.0277414,0
69568X,21/01/2020,2290.5,NULL,0.0171069,0.0694233
69568X,22/01/2020,2384.09,NULL,0.0939244,0.0400474
69568X,23/01/2020,2395.14,NULL,0.108258,0.00462418
69568X,24/01/2020,2364.25,NULL,0.101114,-0.0129808
69568X,27/01/2020,2335.79,NULL,0.0890033,-0.0121107
69568X,28/01/2020,2372.96,NULL,0.035368,0.015788
69568X,29/01/2020,2431.94,NULL,0.0198718,0.0245512
69568X,30/01/2020,2682.34,NULL,0.113248,0.0980003
69568X,31/01/2020,2723.19,NULL,0.141343,0.0151144
69568X,3/02/2020,3264.96,NULL,0.334897,0.181444
69568X,4/02/2020,3713.1,NULL,0.447729,0.12862
69568X,5/02/2020,3075.34,NULL,0.234726,-0.188452
69568X,6/02/2020,3135.04,NULL,0.155952,0.0192265
69568X,7/02/2020,3131.31,NULL,0.139647,-0.00119049
69568X,10/02/2020,3228.46,NULL,-0.0112423,0.0305538
69568X,11/02/2020,3241.44,NULL,-0.135849,0.00401243
69568X,12/02/2020,3211.76,NULL,0.0434036,-0.0091986
69568X,13/02/2020,3365.42,NULL,0.0709108,0.0467337
69568X,14/02/2020,3348.81,NULL,0.0671536,-0.00494771
69568X,17/02/2020,3348.81,NULL,0.0365998,0
69568X,18/02/2020,3593.13,NULL,0.103006,0.0704186
69568X,19/02/2020,3840.18,NULL,0.1787,0.0664956
69568X,20/02/2020,3764.8,NULL,0.112142,-0.0198245
69568X,21/02/2020,3771.45,NULL,0.118854,0.0017648
69568X,24/02/2020,3490.12,NULL,0.0413311,-0.0775234
69568X,25/02/2020,3348.3,NULL,-0.0705709,-0.0414834
69568X,26/02/2020,3259.94,NULL,-0.16381,-0.026744
69568X,27/02/2020,2842.19,NULL,-0.28112,-0.137134
69568X,28/02/2020,2796.11,NULL,-0.29923,-0.0163457
69568X,2/03/2020,3112.68,NULL,-0.114452,0.107255
69568X,3/03/2020,3120.59,NULL,-0.0704307,0.002538
69568X,4/03/2020,3137.3,NULL,-0.0383462,0.00534047
69568X,5/03/2020,3032.82,NULL,0.064918,-0.0338697
69568X,6/03/2020,2944.66,NULL,0.0517642,-0.0294995
69568X,9/03/2020,2545,NULL,-0.201353,-0.145863
69568X,10/03/2020,2701.26,NULL,-0.144304,0.0595877
69568X,11/03/2020,2654.79,NULL,-0.166997,-0.0173528
69568X,12/03/2020,2346.38,NULL,-0.256619,-0.123492
69568X,13/03/2020,2288.07,NULL,-0.252285,-0.025165
69568X,16/03/2020,1863,NULL,-0.311943,-0.205521
69568X,17/03/2020,1800.75,NULL,-0.405515,-0.0339848
69568X,18/03/2020,1512.01,NULL,-0.562926,-0.174763
69568X,19/03/2020,1790.04,NULL,-0.270636,0.168798
69568X,20/03/2020,1789.58,NULL,-0.245728,-0.000257011
69568X,23/03/2020,1817.87,NULL,-0.0245226,0.0156845
69568X,24/03/2020,2113.85,NULL,0.160308,0.150845
69568X,25/03/2020,2257.22,NULL,0.400694,0.065623
69568X,26/03/2020,2210.8,NULL,0.211116,-0.0207795
69568X,27/03/2020,2153.04,NULL,0.1849,-0.0264736
69568X,30/03/2020,2101.84,NULL,0.145148,-0.0240676
69568X,31/03/2020,2193.39,NULL,0.0369374,0.0426351
69568X,1/04/2020,2015.74,NULL,-0.113148,-0.0844619
69568X,2/04/2020,1902.34,NULL,-0.15027,-0.0579017
69568X,3/04/2020,2009.25,NULL,-0.0691193,0.0546768
69568X,6/04/2020,2160.9,NULL,0.0277117,0.0727633
69568X,7/04/2020,2283.17,NULL,0.0401165,0.05504
69568X,8/04/2020,2297.36,NULL,0.130774,0.00619581
69568X,9/04/2020,2398.49,NULL,0.231755,0.0430787
69568X,10/04/2020,2398.49,NULL,0.177078,0
69568X,13/04/2020,2724.78,NULL,0.231863,0.127548
69568X,14/04/2020,2971.49,NULL,0.263499,0.0866758
69568X,15/04/2020,3054.96,NULL,0.285006,0.027703
69568X,16/04/2020,3119.34,NULL,0.262782,0.0208549
69568X,17/04/2020,3155.67,NULL,0.274361,0.0115794
69568X,20/04/2020,3124.15,NULL,0.136775,-0.0100386
69568X,21/04/2020,2874.51,NULL,-0.0331813,-0.08328
69568X,22/04/2020,3064.5,NULL,0.00311792,0.0640022
69568X,23/04/2020,2953.66,NULL,-0.0545764,-0.0368393
69568X,24/04/2020,3035.37,NULL,-0.0388675,0.0272882
69568X,27/04/2020,3343.45,NULL,0.067841,0.0966699
69568X,28/04/2020,3219.42,NULL,0.113319,-0.037802
69568X,29/04/2020,3350.82,NULL,0.0893207,0.0400039
69568X,30/04/2020,3272.83,NULL,0.10261,-0.02355
69568X,1/05/2020,2935.62,NULL,-0.0334147,-0.108736
69568X,4/05/2020,3186.23,NULL,-0.0481648,0.0819197
69568X,5/05/2020,3215.61,NULL,-0.00118414,0.00917868
69568X,6/05/2020,3275.76,NULL,-0.0226552,0.0185328
69568X,7/05/2020,3265.13,NULL,-0.00235548,-0.00325033
69568X,8/05/2020,3429.97,NULL,0.155633,0.0492519
