DSCode,Date,TR_Price,Stale,WeeklyLnReturn,DailyLnReturn
874227,1996-05-09,100,NULL,NULL,NULL
874227,1996-05-10,103.45,NULL,NULL,NULL
874227,1996-05-13,103.02,NULL,NULL,NULL
874227,1996-05-14,101.72,NULL,NULL,NULL
874227,1996-05-15,100,NULL,NULL,NULL
874227,1996-05-16,97.41,NULL,-0.0262413,-0.0262413
874227,1996-05-17,98.28,NULL,-0.0512679,0.00889167
874227,1996-05-20,96.98,NULL,-0.0604184,-0.0133158
874227,1996-05-21,97.41,NULL,-0.0432951,0.0044241
874227,1996-05-22,94.83,NULL,-0.0530844,-0.0268431
874227,1996-05-23,95.26,NULL,-0.0223189,0.00452418
874227,1996-05-24,93.1,NULL,-0.0541464,-0.0229358
874227,1996-05-27,93.1,NULL,-0.0408306,0
874227,1996-05-28,91.38,NULL,-0.0639022,-0.0186475
874227,1996-05-29,89.66,NULL,-0.0560611,-0.0190019
874227,1996-05-30,88.36,NULL,-0.0751906,-0.0146054
874227,1996-05-31,87.93,NULL,-0.0571331,-0.00487834
874227,1996-06-03,86.64,NULL,-0.0719126,-0.0147794
874227,1996-06-04,92.24,NULL,0.00936724,0.0626323
874227,1996-06-05,94.22,NULL,0.0496077,0.0212386
874227,1996-06-06,93.53,NULL,0.0568629,-0.00735023
874227,1996-06-07,93.1,NULL,0.0571331,-0.00460806
874227,1996-06-10,91.38,NULL,0.053265,-0.0186475
874227,1996-06-11,92.24,NULL,0,0.00936724
874227,1996-06-12,94.83,NULL,0.00645334,0.0276919
874227,1996-06-13,95.09,NULL,0.0165416,0.002738
874227,1996-06-14,94.83,NULL,0.0184116,-0.002738
874227,1996-06-17,94.05,NULL,0.0287999,-0.00825926
874227,1996-06-18,93.36,NULL,0.0120691,-0.00736357
874227,1996-06-19,91.81,NULL,-0.0323646,-0.0167418
874227,1996-06-20,89.22,NULL,-0.0637186,-0.028616
874227,1996-06-21,89.22,NULL,-0.0609806,0
874227,1996-06-24,88.79,NULL,-0.0575525,-0.0048312
874227,1996-06-25,87.94,NULL,-0.0598082,-0.00961927
874227,1996-06-26,87.93,NULL,-0.0431802,-0.00011372
874227,1996-06-27,87.07,NULL,-0.0243928,-0.00982865
874227,1996-06-28,89.05,NULL,-0.00190722,0.0224856
874227,1996-07-01,92.67,NULL,0.0427708,0.0398468
874227,1996-07-02,93.53,NULL,0.0616275,0.00923744
874227,1996-07-03,91.81,NULL,0.0431802,-0.018561
874227,1996-07-04,91.81,NULL,0.0530088,0
874227,1996-07-05,89.22,NULL,0.00190722,-0.028616
874227,1996-07-08,90.34,NULL,-0.0254645,0.0124751
874227,1996-07-09,91.38,NULL,-0.0232556,0.0114463
874227,1996-07-10,90.43,NULL,-0.0151452,-0.0104506
874227,1996-07-11,89.66,NULL,-0.0236965,-0.00855133
874227,1996-07-12,89.83,NULL,0.00681377,0.00189426
874227,1996-07-15,89.05,NULL,-0.0143823,-0.00872099
874227,1996-07-16,89.22,NULL,-0.0239214,0.00190722
874227,1996-07-17,90.95,NULL,0.00573383,0.0192047
874227,1996-07-18,91.38,NULL,0.0190019,0.00471673
874227,1996-07-19,90.95,NULL,0.0123909,-0.00471673
874227,1996-07-22,89.83,NULL,0.00872099,-0.0123909
874227,1996-07-23,87.93,NULL,-0.0145642,-0.021378
874227,1996-07-24,88.36,NULL,-0.0288905,0.00487834
874227,1996-07-25,88.36,NULL,-0.0336073,0
874227,1996-07-26,87.93,NULL,-0.0337689,-0.00487834
874227,1996-07-29,88.36,NULL,-0.0164996,0.00487834
874227,1996-07-30,88.53,NULL,0.00680043,0.0019221
874227,1996-07-31,88.45,NULL,0.00101804,-0.000904057
874227,1996-08-01,88.53,NULL,0.0019221,0.000904057
874227,1996-08-02,90.34,NULL,0.0270393,0.0202389
874227,1996-08-05,89.66,NULL,0.0146054,-0.00755559
874227,1996-08-06,89.66,NULL,0.0126833,0
874227,1996-08-07,89.83,NULL,0.0154816,0.00189426
874227,1996-08-08,90,NULL,0.0164682,0.00189068
874227,1996-08-09,89.66,NULL,-0.00755559,-0.00378493
874227,1996-08-12,89.91,NULL,0.00278443,0.00278443
874227,1996-08-13,89.31,NULL,-0.00391127,-0.00669571
874227,1996-08-14,93.1,NULL,0.0357552,0.0415607
874227,1996-08-15,95.69,NULL,0.0613041,0.0274396
874227,1996-08-16,94.22,NULL,0.0496077,-0.0154813
874227,1996-08-19,93.45,NULL,0.0386174,-0.00820594
874227,1996-08-20,92.24,NULL,0.0322804,-0.0130327
874227,1996-08-21,91.38,NULL,-0.0186475,-0.00936724
874227,1996-08-22,91.81,NULL,-0.0413926,0.00469459
874227,1996-08-23,91.98,NULL,-0.0240613,0.00184994
874227,1996-08-26,91.12,NULL,-0.0252492,-0.00939384
874227,1996-08-27,91.38,NULL,-0.00936724,0.00284932
874227,1996-08-28,90.43,NULL,-0.0104506,-0.0104506
874227,1996-08-29,89.22,NULL,-0.028616,-0.0134708
874227,1996-08-30,89.74,NULL,-0.0246546,0.00581137
874227,1996-09-02,89.74,NULL,-0.0152607,0
874227,1996-09-03,90.34,NULL,-0.0114463,0.00666373
874227,1996-09-04,90.52,NULL,0.00099475,0.00199049
874227,1996-09-05,90.09,NULL,0.00970394,-0.00476165
874227,1996-09-06,90.69,NULL,0.0105305,0.00663793
874227,1996-09-09,92.07,NULL,0.0256326,0.0151021
874227,1996-09-10,91.38,NULL,0.0114463,-0.00752252
874227,1996-09-11,91.9,NULL,0.0151302,0.00567439
874227,1996-09-12,92.41,NULL,0.025426,0.00553417
874227,1996-09-13,92.5,NULL,0.0197615,0.000973447
