DSCode,Date,TR_Price,Stale,WeeklyLnReturn,DailyLnReturn
50366K,2023-06-30,654.08,NULL,NULL,NULL
50366K,2023-07-03,666.67,NULL,NULL,NULL
50366K,2023-07-04,666.67,NULL,NULL,NULL
50366K,2023-07-05,653.65,NULL,NULL,NULL
50366K,2023-07-06,647.39,NULL,NULL,NULL
50366K,2023-07-07,646.62,NULL,-0.0114709,-0.0011901
50366K,2023-07-10,656.89,NULL,-0.0147786,0.0157578
50366K,2023-07-11,692.77,NULL,0.0384029,0.0531815
50366K,2023-07-12,690.73,NULL,0.055177,-0.00294904
50366K,2023-07-13,722.81,NULL,0.110197,0.0453974
50366K,2023-07-14,731.89,NULL,0.123871,0.0124838
50366K,2023-07-17,734.42,NULL,0.111564,0.00345084
50366K,2023-07-18,751.94,NULL,0.0819585,0.0235755
50366K,2023-07-19,761.01,NULL,0.0968975,0.01199
50366K,2023-07-20,756.37,NULL,0.0453843,-0.00611582
50366K,2023-07-21,737.94,NULL,0.00823229,-0.0246682
50366K,2023-07-24,739.63,NULL,0.00706899,0.00228754
50366K,2023-07-25,734.49,NULL,-0.0234802,-0.00697368
50366K,2023-07-26,736.67,NULL,-0.0325065,0.00296365
50366K,2023-07-27,726.61,NULL,-0.0401408,-0.0137501
50366K,2023-07-28,744.62,NULL,0.0090115,0.0244841
50366K,2023-07-31,742.78,NULL,0.00424984,-0.00247412
50366K,2023-08-01,751.92,NULL,0.0234536,0.01223
50366K,2023-08-02,729.31,NULL,-0.0100411,-0.0305311
50366K,2023-08-03,727.33,NULL,0.000990412,-0.00271859
50366K,2023-08-04,728.18,NULL,-0.0223258,0.00116798
50366K,2023-08-07,736.68,NULL,-0.0082463,0.0116053
50366K,2023-08-08,735.55,NULL,-0.0220114,-0.00153509
50366K,2023-08-09,709.46,NULL,-0.0275948,-0.0361144
50366K,2023-08-10,710.24,NULL,-0.0237774,0.00109882
50366K,2023-08-11,697.27,NULL,-0.0433756,-0.0184302
50366K,2023-08-14,694.93,NULL,-0.0583425,-0.00336159
50366K,2023-08-15,690.89,NULL,-0.0626379,-0.0058305
50366K,2023-08-16,686.85,NULL,-0.0323882,-0.00586469
50366K,2023-08-17,686.14,NULL,-0.0345213,-0.00103424
50366K,2023-08-18,699.75,NULL,0.00355042,0.0196414
50366K,2023-08-21,700.25,NULL,0.00762629,0.000714286
50366K,2023-08-22,696.49,NULL,0.00807281,-0.00538398
50366K,2023-08-23,706.7,NULL,0.0284903,0.0145528
50366K,2023-08-24,701.88,NULL,0.0226808,-0.0068438
50366K,2023-08-25,706.42,NULL,0.00948683,0.00644751
50366K,2023-08-28,715.06,NULL,0.020929,0.0121565
50366K,2023-08-29,739.31,NULL,0.0596639,0.0333509
50366K,2023-08-30,743.49,NULL,0.0507491,0.005638
50366K,2023-08-31,753.98,NULL,0.0716034,0.0140105
50366K,2023-09-01,740.65,NULL,0.0473182,-0.0178377
50366K,2023-09-04,740.65,NULL,0.0351617,0
50366K,2023-09-05,767.23,NULL,0.0370693,0.0352584
50366K,2023-09-06,764.82,NULL,0.0282852,-0.00314611
50366K,2023-09-07,775.39,NULL,0.0280003,0.0137256
50366K,2023-09-08,798.63,NULL,0.0753696,0.0295316
50366K,2023-09-11,804.52,NULL,0.0827176,0.00734807
50366K,2023-09-12,797.71,NULL,0.0389585,-0.0085007
50366K,2023-09-13,799.2,NULL,0.0439707,0.0018661
50366K,2023-09-14,798.92,NULL,0.0298947,-0.000350412
50366K,2023-09-15,806.57,NULL,0.00989293,0.00952987
50366K,2023-09-18,810.68,NULL,0.00762758,0.00508271
50366K,2023-09-19,816,NULL,0.0226692,0.00654095
50366K,2023-09-20,809.62,NULL,0.0129538,-0.00784935
50366K,2023-09-21,787.72,NULL,-0.0141181,-0.0274223
50366K,2023-09-22,788.07,NULL,-0.0232038,0.000444222
50366K,2023-09-25,781.84,NULL,-0.0362233,-0.0079368
50366K,2023-09-26,750.93,NULL,-0.0831019,-0.0403377
50366K,2023-09-27,755.25,NULL,-0.0695162,0.00573638
50366K,2023-09-28,767.16,NULL,-0.0264473,0.0156466
50366K,2023-09-29,759.44,NULL,-0.0370056,-0.0101141
50366K,2023-10-02,759.58,NULL,-0.0288845,0.000184329
50366K,2023-10-03,731.65,NULL,-0.0260102,-0.0374634
50366K,2023-10-04,738.88,NULL,-0.0219133,0.00983327
50366K,2023-10-05,738.53,NULL,-0.0380337,-0.000473802
50366K,2023-10-06,745.19,NULL,-0.0189421,0.0089775
50366K,2023-10-09,742.92,NULL,-0.0221773,-0.00305085
50366K,2023-10-10,746.32,NULL,0.0198522,0.0045661
50366K,2023-10-11,760.36,NULL,0.0286565,0.0186375
50366K,2023-10-12,743.28,NULL,0.0064111,-0.0227192
50366K,2023-10-13,735.76,NULL,-0.0127352,-0.0101688
50366K,2023-10-16,741.01,NULL,-0.00257425,0.00711014
50366K,2023-10-17,746.61,NULL,0.000388498,0.00752884
50366K,2023-10-18,725.13,NULL,-0.0474411,-0.029192
50366K,2023-10-19,667.86,NULL,-0.106994,-0.0822724
50366K,2023-10-20,669.27,NULL,-0.0947164,0.002109
50366K,2023-10-23,657.37,NULL,-0.119767,-0.0179405
50366K,2023-10-24,674.59,NULL,-0.101438,0.0258581
50366K,2023-10-25,651.48,NULL,-0.107104,-0.0348584
50366K,2023-10-26,654.25,NULL,-0.020589,0.00424284
50366K,2023-10-27,640.85,NULL,-0.0433921,-0.0206941
50366K,2023-10-30,660.66,NULL,0.00499231,0.0304439
50366K,2023-10-31,660.45,NULL,-0.0211837,-0.000317914
50366K,2023-11-01,677.61,NULL,0.0393252,0.0256505
50366K,2023-11-02,702.28,NULL,0.0708426,0.0357603
50366K,2023-11-03,721.59,NULL,0.118662,0.0271249
50366K,2023-11-06,703.21,NULL,0.0624162,-0.0258015
50366K,2023-11-07,707.5,NULL,0.0688162,0.00608206
50366K,2023-11-08,709.15,NULL,0.0454952,0.00232944
50366K,2023-11-09,692.63,NULL,-0.0138362,-0.0235711
50366K,2023-11-10,705.43,NULL,-0.0226496,0.0183116
50366K,2023-11-13,698.92,NULL,-0.00611928,-0.00927126
50366K,2023-11-14,733.68,NULL,0.0363353,0.0485367
50366K,2023-11-15,745.76,NULL,0.0503368,0.0163309
50366K,2023-11-16,741.61,NULL,0.0683276,-0.00558033
50366K,2023-11-17,750.63,NULL,0.0621053,0.0120894
50366K,2023-11-20,761.28,NULL,0.0854649,0.0140884
50366K,2023-11-21,756.49,NULL,0.0306163,-0.00631191
50366K,2023-11-22,763.64,NULL,0.0236926,0.00940716
50366K,2023-11-23,763.64,NULL,0.029273,0
50366K,2023-11-24,765.22,NULL,0.0192505,0.0020669
50366K,2023-11-27,763.43,NULL,0.00282021,-0.00234194
50366K,2023-11-28,769.79,NULL,0.0174284,0.00829631
50366K,2023-11-29,796.47,NULL,0.042093,0.0340717
50366K,2023-11-30,803.62,NULL,0.05103,0.00893706
50366K,2023-12-01,817.28,NULL,0.0658184,0.0168552
50366K,2023-12-04,826.29,NULL,0.0791244,0.010964
50366K,2023-12-05,824.43,NULL,0.0685745,-0.00225356
50366K,2023-12-06,801.76,NULL,0.00661985,-0.0278829
50366K,2023-12-07,814.27,NULL,0.0131655,0.0154827
50366K,2023-12-08,805.05,NULL,-0.0150774,-0.0113876
50366K,2023-12-11,808.05,NULL,-0.0223219,0.00371955
50366K,2023-12-12,809.63,NULL,-0.0181149,0.00195342
50366K,2023-12-13,856.4,NULL,0.0659282,0.0561602
50366K,2023-12-14,918.76,NULL,0.120733,0.0702874
50366K,2023-12-15,925.2,NULL,0.139106,0.006985
50366K,2023-12-18,900.81,NULL,0.10867,-0.0267156
50366K,2023-12-19,917.47,NULL,0.125043,0.0183255
50366K,2023-12-20,901.81,NULL,0.0516663,-0.017216
50366K,2023-12-21,923.55,NULL,0.00520001,0.0238211
50366K,2023-12-22,934.64,NULL,0.0101515,0.0119365
50366K,2023-12-25,934.64,NULL,0.0368671,0
50366K,2023-12-26,939.5,NULL,0.0237279,0.00518639
50366K,2023-12-27,948.37,NULL,0.0503409,0.0093969
50366K,2023-12-28,952.08,NULL,0.0304241,0.00390434
50366K,2023-12-29,936.28,NULL,0.00175315,-0.0167345
50366K,2024-01-01,936.28,NULL,0.00175315,0
50366K,2024-01-02,917.33,NULL,-0.0238805,-0.0204473
50366K,2024-01-03,874.99,NULL,-0.0805323,-0.0472548
50366K,2024-01-04,878.92,NULL,-0.0799552,0.00448142
50366K,2024-01-05,873.99,NULL,-0.0688456,-0.00562495
50366K,2024-01-08,874.92,NULL,-0.0677821,0.00106352
50366K,2024-01-09,865.34,NULL,-0.0583448,-0.01101
50366K,2024-01-10,869.13,NULL,-0.00671975,0.00437022
50366K,2024-01-11,857.61,NULL,-0.0245444,-0.0133433
50366K,2024-01-12,853.47,NULL,-0.0237585,-0.00483906
50366K,2024-01-15,853.47,NULL,-0.0248221,0
50366K,2024-01-16,845.67,NULL,-0.0229933,-0.00918118
50366K,2024-01-17,836.59,NULL,-0.0381586,-0.0107951
50366K,2024-01-18,837.37,NULL,-0.0238834,0.000931922
50366K,2024-01-19,851.61,NULL,-0.00218172,0.0168626
50366K,2024-01-22,865.12,NULL,0.0135578,0.0157396
50366K,2024-01-23,850.89,NULL,0.00615365,-0.0165854
50366K,2024-01-24,862.69,NULL,0.0307213,0.0137726
50366K,2024-01-25,883.14,NULL,0.0532177,0.0234283
50366K,2024-01-26,890.87,NULL,0.0450698,0.00871477
50366K,2024-01-29,914.18,NULL,0.0551593,0.025829
50366K,2024-01-30,909.68,NULL,0.06681,-0.0049346
50366K,2024-01-31,890.01,NULL,0.0311773,-0.0218602
50366K,2024-02-01,888.94,NULL,0.006546,-0.00120296
50366K,2024-02-02,896.09,NULL,0.00584234,0.00801111
50366K,2024-02-05,873.68,NULL,-0.0453133,-0.0253267
50366K,2024-02-06,890.32,NULL,-0.0215119,0.0188668
50366K,2024-02-07,908.55,NULL,0.0206172,0.020269
50366K,2024-02-08,921.16,NULL,0.035604,0.0137838
50366K,2024-02-09,920.01,NULL,0.0263437,-0.00124921
50366K,2024-02-12,937.3,NULL,0.0702892,0.0186189
50366K,2024-02-13,900.34,NULL,0.0111915,-0.0402309
50366K,2024-02-14,921.96,NULL,0.0146519,0.0237294
50366K,2024-02-15,938.53,NULL,0.0186811,0.017813
50366K,2024-02-16,921.52,NULL,0.00163994,-0.0182903
50366K,2024-02-19,921.52,NULL,-0.0169789,0
50366K,2024-02-20,910.28,NULL,0.0109798,-0.0122722
50366K,2024-02-21,909.27,NULL,-0.0138598,-0.00111016
50366K,2024-02-22,917.2,NULL,-0.0229893,0.00868347
50366K,2024-02-23,901.49,NULL,-0.0219755,-0.0172766
50366K,2024-02-26,902.72,NULL,-0.0206121,0.00136348
50366K,2024-02-27,913.31,NULL,0.00332312,0.0116629
50366K,2024-02-28,910.21,NULL,0.00103326,-0.00340002
50366K,2024-02-29,921.02,NULL,0.0041562,0.0118064
50366K,2024-03-01,922.97,NULL,0.0235478,0.00211498
50366K,2024-03-04,912.23,NULL,0.0104797,-0.0117046
50366K,2024-03-05,899.4,NULL,-0.0153475,-0.0141643
50366K,2024-03-06,888.45,NULL,-0.024197,-0.0122495
50366K,2024-03-07,899.26,NULL,-0.0239095,0.0120938
50366K,2024-03-08,907.83,NULL,-0.0165396,0.00948493
50366K,2024-03-11,897.6,NULL,-0.0161676,-0.0113326
50366K,2024-03-12,891.19,NULL,-0.00917023,-0.00716689
50366K,2024-03-13,908.63,NULL,0.0224596,0.0193803
50366K,2024-03-14,899.26,NULL,0,-0.0103658
50366K,2024-03-15,900.48,NULL,-0.00812918,0.00135575
50366K,2024-03-18,889.39,NULL,-0.0091887,-0.0123921
50366K,2024-03-19,893.35,NULL,0.00242079,0.00444261
50366K,2024-03-20,920.59,NULL,0.0130768,0.0300363
50366K,2024-03-21,948.69,NULL,0.0535099,0.0300673
50366K,2024-03-22,921.31,NULL,0.0228686,-0.0292855
50366K,2024-03-25,928.37,NULL,0.0428945,0.00763379
50366K,2024-03-26,921.45,NULL,0.0309701,-0.00748184
50366K,2024-03-27,943.14,NULL,0.0242,0.0232662
50366K,2024-03-28,946.6,NULL,-0.00220547,0.00366188
50366K,2024-03-29,946.6,NULL,0.02708,0
50366K,2024-04-01,944.15,NULL,0.0168547,-0.00259157
50366K,2024-04-02,910.14,NULL,-0.0123501,-0.0366866
50366K,2024-04-03,912.01,NULL,-0.0335638,0.00205252
50366K,2024-04-04,907.98,NULL,-0.0416543,-0.0044286
50366K,2024-04-05,919.29,NULL,-0.029275,0.0123793
50366K,2024-04-08,931.83,NULL,-0.0131347,0.0135488
50366K,2024-04-09,951.14,NULL,0.0440628,0.0205109
50366K,2024-04-10,908.48,NULL,-0.00387808,-0.0458884
50366K,2024-04-11,914.17,NULL,0.0067942,0.00624368
50366K,2024-04-12,889.68,NULL,-0.0327398,-0.0271547
50366K,2024-04-15,873.1,NULL,-0.0651003,-0.0188118
50366K,2024-04-16,878.22,NULL,-0.0797641,0.00584703
50366K,2024-04-17,887.66,NULL,-0.0231841,0.0106917
50366K,2024-04-18,866.98,NULL,-0.0530006,-0.0235729
50366K,2024-04-19,853.14,NULL,-0.0419382,-0.0160922
50366K,2024-04-22,879.73,NULL,0.00756495,0.0306914
